Iteracja: 0 | x1: 1 | x2: 1
Iteracja: 246 | x1: 0.784929 | x2: 0.836321
Iteracja: 247 | x1: 0.784034 | x2: 0.835723
Iteracja: 248 | x1: 0.783139 | x2: 0.835127
Iteracja: 249 | x1: 0.782244 | x2: 0.834531
Iteracja: 250 | x1: 0.78135 | x2: 0.833936
Iteracja: 251 | x1: 0.780455 | x2: 0.833342
Iteracja: 252 | x1: 0.779561 | x2: 0.83275
Iteracja: 253 | x1: 0.778668 | x2: 0.832158
Iteracja: 254 | x1: 0.777774 | x2: 0.831567
Iteracja: 255 | x1: 0.776881 | x2: 0.830978
Iteracja: 256 | x1: 0.775988 | x2: 0.830389
Iteracja: 257 | x1: 0.775095 | x2: 0.829801
Iteracja: 258 | x1: 0.774202 | x2: 0.829215
Iteracja: 259 | x1: 0.77331 | x2: 0.82863
Iteracja: 260 | x1: 0.772418 | x2: 0.828045
Iteracja: 261 | x1: 0.771526 | x2: 0.827462
Iteracja: 262 | x1: 0.770635 | x2: 0.82688
Iteracja: 263 | x1: 0.769744 | x2: 0.826299
Iteracja: 264 | x1: 0.768853 | x2: 0.825719
Iteracja: 265 | x1: 0.767963 | x2: 0.82514
Iteracja: 266 | x1: 0.767072 | x2: 0.824562
Iteracja: 267 | x1: 0.766182 | x2: 0.823985
Iteracja: 268 | x1: 0.765293 | x2: 0.823409
Iteracja: 269 | x1: 0.764403 | x2: 0.822835
Iteracja: 270 | x1: 0.763514 | x2: 0.822261
Iteracja: 271 | x1: 0.762626 | x2: 0.821689
Iteracja: 272 | x1: 0.761737 | x2: 0.821118
Iteracja: 273 | x1: 0.760849 | x2: 0.820548
Iteracja: 274 | x1: 0.759962 | x2: 0.819979
Iteracja: 275 | x1: 0.759074 | x2: 0.819411
Iteracja: 276 | x1: 0.758187 | x2: 0.818844
Iteracja: 277 | x1: 0.757301 | x2: 0.818278
Iteracja: 278 | x1: 0.756415 | x2: 0.817714
Iteracja: 279 | x1: 0.755529 | x2: 0.817151
Iteracja: 280 | x1: 0.754643 | x2: 0.816589
Iteracja: 281 | x1: 0.753758 | x2: 0.816028
Iteracja: 282 | x1: 0.752873 | x2: 0.815468
Iteracja: 283 | x1: 0.751989 | x2: 0.814909
Iteracja: 284 | x1: 0.751105 | x2: 0.814352
Iteracja: 285 | x1: 0.750221 | x2: 0.813795
Iteracja: 286 | x1: 0.749338 | x2: 0.81324
Iteracja: 287 | x1: 0.748455 | x2: 0.812686
Iteracja: 288 | x1: 0.747572 | x2: 0.812133
Iteracja: 289 | x1: 0.74669 | x2: 0.811582
Iteracja: 290 | x1: 0.745808 | x2: 0.811031
Iteracja: 291 | x1: 0.744927 | x2: 0.810482
Iteracja: 292 | x1: 0.744046 | x2: 0.809934
Iteracja: 293 | x1: 0.743166 | x2: 0.809387
Iteracja: 294 | x1: 0.742285 | x2: 0.808842
Iteracja: 295 | x1: 0.741406 | x2: 0.808297
Iteracja: 296 | x1: 0.740527 | x2: 0.807754
Iteracja: 297 | x1: 0.739648 | x2: 0.807212
Iteracja: 298 | x1: 0.73877 | x2: 0.806671
Iteracja: 299 | x1: 0.737892 | x2: 0.806132
Iteracja: 300 | x1: 0.737014 | x2: 0.805594
Iteracja: 301 | x1: 0.736137 | x2: 0.805057
Iteracja: 302 | x1: 0.735261 | x2: 0.804521
Iteracja: 303 | x1: 0.734385 | x2: 0.803986
Iteracja: 304 | x1: 0.733509 | x2: 0.803453
Iteracja: 305 | x1: 0.732634 | x2: 0.802921
Iteracja: 306 | x1: 0.731759 | x2: 0.80239
Iteracja: 307 | x1: 0.730885 | x2: 0.80186
Iteracja: 308 | x1: 0.730011 | x2: 0.801332
Iteracja: 309 | x1: 0.729138 | x2: 0.800804
Iteracja: 310 | x1: 0.728265 | x2: 0.800279
Iteracja: 311 | x1: 0.727393 | x2: 0.799754
Iteracja: 312 | x1: 0.726521 | x2: 0.799231
Iteracja: 313 | x1: 0.72565 | x2: 0.798708
Iteracja: 314 | x1: 0.724779 | x2: 0.798188
Iteracja: 315 | x1: 0.723908 | x2: 0.797668
Iteracja: 316 | x1: 0.723039 | x2: 0.79715
Iteracja: 317 | x1: 0.722169 | x2: 0.796633
Iteracja: 318 | x1: 0.7213 | x2: 0.796117
Iteracja: 319 | x1: 0.720432 | x2: 0.795603
Iteracja: 320 | x1: 0.719564 | x2: 0.79509
Iteracja: 321 | x1: 0.718697 | x2: 0.794578
Iteracja: 322 | x1: 0.71783 | x2: 0.794067
Iteracja: 323 | x1: 0.716964 | x2: 0.793558
Iteracja: 324 | x1: 0.716099 | x2: 0.79305
Iteracja: 325 | x1: 0.715234 | x2: 0.792543
Iteracja: 326 | x1: 0.714369 | x2: 0.792038
Iteracja: 327 | x1: 0.713505 | x2: 0.791534
Iteracja: 328 | x1: 0.712641 | x2: 0.791031
Iteracja: 329 | x1: 0.711779 | x2: 0.79053
Iteracja: 330 | x1: 0.710916 | x2: 0.79003
Iteracja: 331 | x1: 0.710054 | x2: 0.789531
Iteracja: 332 | x1: 0.709193 | x2: 0.789034
Iteracja: 333 | x1: 0.708332 | x2: 0.788538
Iteracja: 334 | x1: 0.707472 | x2: 0.788043
Iteracja: 335 | x1: 0.706613 | x2: 0.787549
Iteracja: 336 | x1: 0.705754 | x2: 0.787057
Iteracja: 337 | x1: 0.704895 | x2: 0.786566
Iteracja: 338 | x1: 0.704038 | x2: 0.786077
Iteracja: 339 | x1: 0.70318 | x2: 0.785588
Iteracja: 340 | x1: 0.702324 | x2: 0.785102
Iteracja: 341 | x1: 0.701468 | x2: 0.784616
Iteracja: 342 | x1: 0.700612 | x2: 0.784132
Iteracja: 343 | x1: 0.699757 | x2: 0.783649
Iteracja: 344 | x1: 0.698903 | x2: 0.783168
Iteracja: 345 | x1: 0.69805 | x2: 0.782687
Iteracja: 346 | x1: 0.697197 | x2: 0.782209
